fighter,KD,SIG_STR_pct,TD_pct,SUB_ATT,REV,SIG_STR_att,SIG_STR_landed,TOTAL_STR_att,TOTAL_STR_landed,TD_att,TD_landed,p4p_score
Claudia Gadelha,0.010212548747822313,0.043794450431034485,0.06260542674731183,0.01961440266325467,0.0,0.04174652337957041,0.04033296514625914,0.02192370419385589,0.02417504406039138,0.019317061565463162,0.021225276610030944,0.3049474035449942
Yan Xiaonan,0.0001933644971188973,0.04630387931034483,0.0277173579109063,0.0004147729628708179,0.0,0.07850173571028925,0.07547346709169324,0.035482910210209405,0.03347618729869681,0.0028355215171407735,0.004152507736322765,0.3045517042455931
Nick Diaz,0.02565712319805931,0.05088767667122075,0.03290612399193548,0.02438608138023478,0.013991001674107143,0.03610624259578348,0.03564569011846722,0.026947533226777644,0.03711286083387479,0.011036331544037199,0.00944577640567525,0.30412244164017305
Lara Procopio,0.0008121308878993688,0.05887931034482759,0.013824884792626727,0.0015855187748791582,0.0,0.06625504645546951,0.08350834427151697,0.029795747295902283,0.03608214210633185,0.010175054704595185,0.002207041513399895,0.30312522114744855
Bryan Barberena,0.06922097425043582,0.0574088643710815,0.01610901497695853,0.004307067983108021,0.0,0.0448326054487254,0.050711106233912354,0.024842849550405395,0.03148369376874017,0.0016064035458523973,0.0013697172725680347,0.3018922974017876
Chris Daukaus,0.1601560897136489,0.06767241379310344,0.008602150537634407,0.001307932897355701,0.0,0.017501242764407225,0.023645227826739168,0.008484609171516028,0.011229665791557576,0.00149525893508388,0.0015122321480702983,0.30160682357911667
Amanda Lemos,0.015198449473545329,0.07303879310344828,0.09999999999999999,0.005143057937340063,0.0,0.02756815444805661,0.04003843990249391,0.012534803550299048,0.0175304990704806,0.0036652078774617063,0.006792783324575233,0.3015101886877008
Andrew Sanchez,0.03268247107968636,0.059574353448275864,0.029708525345622117,0.0003222443370296654,0.0,0.04308347008941664,0.04543487092943309,0.02531699419514067,0.029853855905081002,0.018908035497203986,0.015535801171639323,0.3004206219985287
Jorge Masvidal,0.04743561869387413,0.060677840549586685,0.043560075558651545,0.008723566186511381,0.0026312577097039476,0.03798744242122801,0.04230880170334968,0.019484220163811114,0.023149128444337724,0.006081542125237533,0.007821466160166081,0.29986095971645793
Andrea Lee,0.0001933644971188973,0.061417025862068965,0.043098310291858684,0.017664322768576442,0.0,0.04759382091296905,0.05647852990811926,0.023677330321742487,0.028700516814220246,0.010398431801604666,0.010475272960822095,0.2996969261391007
Jimy Hettes,0.0008179374877884367,0.060495689655172415,0.052185867895545315,0.029153634726566197,0.016145833333333335,0.02034660127333953,0.02697356084755297,0.016047727246182277,0.02393907671805631,0.02552425237053246,0.027289659601798327,0.29891984115586756
Taylor Lapilus,0.03841089902764661,0.05500000000000001,0.042184331797235027,0.014245095251634919,0.021875000000000002,0.03538041070503741,0.0417401087567973,0.016965939015285262,0.020243899289030667,0.005962800875273522,0.006897004729374672,0.2989054894473154
Sabina Mazo,0.012885043427985444,0.05286637931034482,0.026359447004608294,0.003082172305942565,0.0,0.0644679616375787,0.06771798237389837,0.030848007201942803,0.03225572223047345,0.002822757111597374,0.005458749343142407,0.2987642219475142
